Price,Close,High,Low,Open,Volume
Ticker,VOO,VOO,VOO,VOO,VOO
Date,,,,,
2015-08-27,151.5816192626953,151.64798751474345,148.44579213950726,149.98881918888947,7168800
2015-08-28,151.5816192626953,151.97152483194697,150.51144860378764,150.95943114050007,2945000
2015-08-31,150.24594116210938,151.43224006721468,149.82285792866648,150.71879740437547,1923000
2015-09-01,145.65834045410156,148.08072388605322,145.03615253861395,146.92760278902065,8531800
2015-09-02,148.5950927734375,148.60339671544418,146.3386231176081,148.06415948138635,2424000
2015-09-03,148.71949768066406,150.6026438724878,148.25493275830323,149.2919125523032,2420200
2015-09-04,146.4132843017578,147.40878256724474,145.708132840379,146.73682155450226,2317700
2015-09-08,150.1630096435547,150.27915090832377,148.42918195577022,149.05137001527217,2248500
2015-09-09,148.1388397216797,151.68945867878185,147.80699848457502,151.64797694183767,2125500
2015-09-10,148.9684600830078,149.97225000573772,147.7240836225165,147.87340272171852,1774400
2015-09-11,149.590576171875,149.6735269674995,147.93969964006362,148.57017885228234,2185000
2015-09-14,149.0264892578125,149.8063003478398,148.64487499687078,149.8063003478398,905300
2015-09-15,150.96771240234375,151.33273143514998,149.1343386127246,149.50764892956775,1641500
2015-09-16,152.28680419921875,152.41123678751543,150.90969114929032,151.26640634137584,2098900
2015-09-17,151.8885040283203,154.2943047879097,151.59815727594494,152.14567299641806,3106200
2015-09-18,149.4329833984375,151.01747936039706,149.0679643802861,149.66526592663413,3205200
2015-09-21,150.2027130126953,151.12010115021758,149.23527441608945,150.24440263994111,1467600
2015-09-22,148.2429656982422,148.65996419528366,147.2338237360568,148.2846680931032,2469500
2015-09-23,147.97596740722656,148.8266472539688,147.4922607191976,148.4430160564597,1670300
2015-09-24,147.51731872558594,147.87593114559868,145.69086418442527,146.82510003904963,2562400
2015-09-25,147.41726684570312,149.0435707538829,146.64165594555178,148.85174233114745,3436300
2015-09-28,143.70594787597656,146.6749736483779,143.4640944684445,146.66663826390362,3732900
2015-09-29,143.78097534179688,145.0486534424664,142.91362467867052,144.006157934693,3219500
2015-09-30,146.54153442382812,146.64994531811823,144.84017439316472,145.58243078842932,4123600
2015-10-01,146.95016479492188,147.14198040587175,145.11537523934953,146.758349183972,3948400
2015-10-02,149.076904296875,149.076904296875,144.57332738325312,145.11542012674826,2307200
2015-10-05,151.75399780273438,151.9374653117977,150.11935918119778,150.23611817375212,2049100
2015-10-06,151.2452392578125,152.12927332986374,150.61139390368214,151.68725629383812,1325400
2015-10-07,152.512939453125,152.77982444774565,150.99507240499514,152.12096007088653,1693800
2015-10-08,153.85569763183594,154.10589917069575,151.8541107725154,152.15435007399137,3109600
2015-10-09,153.9390411376953,154.35603929462076,153.38026513450805,154.00576236989625,1651000
2015-10-12,154.12254333496094,154.23095421770338,153.60545689306943,154.02245510949206,885100
2015-10-13,153.09677124023438,154.5479172676018,152.94664522573973,153.4387001953464,1022300
2015-10-14,152.3795166015625,153.5637901859746,152.11263159482186,152.9966659095395,1184100
2015-10-15,154.66465759277344,154.69802458119597,152.63805208542718,152.95496212077646,2523100
2015-10-16,155.29010009765625,155.4068590642966,154.38938261538502,155.05658216437553,1241200
2015-10-19,155.47364807128906,155.4819834561926,154.54791131585623,154.83981522260058,768900
2015-10-20,155.2734832763672,155.84894297537426,154.87316846540597,155.14005348989906,1151200
2015-10-21,154.2643280029297,155.7988784528368,154.1725878822409,155.78219496022714,1556900
2015-10-22,156.93310546875,157.10825031701043,155.09831588237057,155.1400182486969,1498300
2015-10-23,158.64288330078125,158.98482506664973,157.7421651673088,158.45940297401194,1624300
2015-10-26,158.26754760742188,158.55943879903714,157.95062480862575,158.55110341382948,1150500
2015-10-27,157.9589385986328,158.25917786018775,157.33344119754142,157.69206632490463,1442400
2015-10-28,159.79371643066406,159.79371643066406,157.67535843364277,158.32587461206026,2251900
2015-10-29,159.73533630371094,160.00222127149416,159.2015790939202,159.32667346895877,1779000
2015-10-30,158.9263916015625,160.12734875333706,158.9263916015625,159.9772354722544,2011600
2015-11-02,160.81117248535156,161.03634232352988,159.16819875822085,159.27660962356737,2403500
2015-11-03,161.31993103027344,161.84535287844773,160.3608401804017,160.57767468125044,3920400
2015-11-04,160.86122131347656,161.71188843454632,160.3608184092683,161.6034775617283,1786700
2015-11-05,160.6610870361328,161.32828678870163,159.88547639088753,160.95299090468694,2185100
2015-11-06,160.59439086914062,160.8195735250281,159.39343367211248,160.34418933212996,2172600
2015-11-09,159.0931396484375,160.1356350892382,158.2508079135493,160.03555959916915,2127800
2015-11-10,159.3934783935547,159.50190205936173,158.3843493030421,158.6762405733022,1257500
2015-11-11,158.78463745117188,159.75207671542182,158.78463745117188,159.69369083575043,1114700
2015-11-12,156.65794372558594,158.3009183124098,156.60790595758607,157.9256223266305,2454900
2015-11-13,154.8480987548828,156.4743890709864,154.77304213854902,156.249219221985,3224000
2015-11-16,157.2249755859375,157.2499944552122,154.58954439897144,154.70630336417764,1687100
2015-11-17,157.03321838378906,158.28421331700218,156.64958706403968,157.50860256678374,1879900
2015-11-18,159.5602569580078,159.7187056435431,157.533638331588,157.55032182903693,2858600
2015-11-19,159.47677612304688,159.86040730091378,159.20989119429265,159.54349735523542,2154800
2015-11-20,160.0689239501953,160.67775048858192,159.71031160431232,160.1356451897079,1317600
2015-11-23,159.88548278808594,160.57768871978976,159.4601364068441,160.0355960573873,1308100
2015-11-24,160.1439971923828,160.44423641460256,158.6094340978288,158.98474266993512,1572000
2015-11-25,160.0939483642578,160.3858394575267,159.85208229115895,160.2523969844911,758700
2015-11-27,160.25241088867188,160.4442392324699,159.7103182928706,160.19403775526325,894500
2015-11-30,159.6019287109375,160.51933008102893,159.49351780412923,160.50264658545132,1551000
2015-12-01,161.14480590820312,161.21152715577668,159.94384890343272,160.16903152327134,1812900
2015-12-02,159.4434356689453,161.33661117919945,159.22660117259045,161.11142857382362,1999600
2015-12-03,157.17501831054688,159.91886176044449,156.56619157778957,159.76040035673446,2724400
2015-12-04,160.26083374023438,160.56107310775323,157.4919581591402,157.61706531897906,2900700
2015-12-07,159.25157165527344,160.02719473775164,158.44259432417468,160.02719473775164,1752800
